speaker_id,first_name,last_name,years_experience,company_type,company,job_title,expertise_primary,expertise_secondary,programming_languages,cloud_services,mvp_status,region,country,twitter_followers,linkedin_connections,github_repositories,speaking_experience_years,previous_conferences,session_title,session_track,session_type,session_level,session_duration_minutes,expected_audience_size,session_rating_prediction,community_contributions,open_source_projects,certifications_count,speaker_fee_tier
SPKR-0754,Lucia,Sato,5,Government,Canada Digital Service,Solutions Architect,DevOps & Automation,Security & Compliance,"Python, Bash, PowerShell","Azure Data, Power Platform, Azure AI",False,North America,Mexico,204,1005,27,3,4,Infrastructure as Code with ARM Templates,App Innovation,Theater Session,Intermediate,30,107,3.7,7,2,2,None
SPKR-0755,Emily,Miller,3,Microsoft Partner,Accenture,Cloud Engineer,Power Platform,AI/Machine Learning,"JavaScript, TypeScript, C#","Azure Compute, Azure Security",False,Europe,Germany,135,4164,6,0,0,Low-Code Application Development,Modern Work,Breakout Session,Intermediate,60,165,3.7,13,1,9,None
SPKR-0756,Raj,Brown,10,Government,Singapore GovTech,Lead Developer,DevOps & Automation,Microsoft 365,"YAML, Python, Go","Azure Mixed Reality, Azure Networking",False,Europe,Netherlands,167,348,11,7,10,CI/CD with Azure DevOps,App Innovation,Theater Session,Beginner,30,174,4.9,7,1,3,Low
SPKR-0757,Michael,Sato,7,Microsoft Partner,Deloitte,Solutions Architect,Modern Apps,IoT Solutions,"C#, JavaScript, Java, TypeScript, Swift","Power Platform, Azure AI, Azure Data, Azure Networking, Azure Storage, Dynamics 365",False,Europe,Italy,278,886,11,5,8,Container Orchestration with Azure Kubernetes Service,App Innovation,Theater Session,Intermediate,30,139,5.0,17,4,2,Low
SPKR-0758,Fatima,Smith,14,Microsoft,Microsoft Corporation,VP Engineering,AI/Machine Learning,Power Platform,"C#, Scala, R","Azure Mixed Reality, Azure Storage, Azure IoT, Azure Networking",False,North America,United States,1026,129,19,4,15,Building Intelligent Chatbots with Bot Framework: Advanced Techniques,App Innovation,Breakout Session,Intermediate,45,268,4.8,10,6,1,Low
SPKR-0759,Michael,Smith,13,Consulting Firm,NTT Data,VP Engineering,Mixed Reality,IoT Solutions,"Unity Script, C++, C#","Azure Data, Microsoft 365",False,Asia Pacific,New Zealand,1892,943,14,8,22,Spatial Computing Fundamentals: Best Practices,App Innovation,Theater Session,Advanced,45,166,4.4,16,2,3,Medium
SPKR-0760,Wei,Oliveira,8,Startup,DataDriven Solutions,Senior Software Engineer,IoT Solutions,Microsoft 365,"Python, C++, C#","Azure Data, Azure Compute",False,Europe,France,169,754,1,0,0,Secure IoT Implementation,Data & AI,Breakout Session,Beginner,75,242,4.7,12,1,5,Low
SPKR-0761,Carlos,Harris,17,Enterprise Customer,General Electric,Director of Engineering,Blockchain,Modern Apps,"Solidity, JavaScript, Go","Azure IoT, Azure Security, Azure DevOps, Microsoft 365, Azure Data",False,Europe,Germany,1552,8514,13,13,6,Smart Contracts Development: Best Practices,Infrastructure,Breakout Session,Advanced,75,343,4.2,17,5,3,None
SPKR-0762,Fatima,White,9,Enterprise Customer,Home Depot,Senior Data Scientist,IoT Solutions,Quantum Computing,"C#, JavaScript, C++, Python","Azure DevOps, Azure Storage, Azure Compute, Azure Data, Power Platform",True,Asia Pacific,Japan,3535,398,6,2,6,Secure IoT Implementation: Best Practices,Data & AI,Theater Session,Beginner,45,168,4.5,10,0,1,Low
SPKR-0763,Kevin,Liu,7,Microsoft,Microsoft Corporation,Principal Engineer,Modern Apps,Edge Computing,"C#, Swift, Java, JavaScript, TypeScript","Azure Networking, Azure AI, Azure Data, Azure Mixed Reality, Azure DevOps, Microsoft 365",False,Middle East & Africa,Egypt,119,1818,7,6,0,Serverless Computing with Azure Functions: A Case Study,App Innovation,Keynote,Intermediate,75,550,4.1,4,4,3,High
SPKR-0764,Brian,Martinez,2,Startup,Digital Transform Co,Cloud Engineer,Blockchain,Modern Apps,"C#, Go","Azure IoT, Azure Data",False,Europe,Sweden,310,184,1,0,0,Decentralized Identity,Infrastructure,Breakout Session,Beginner,60,226,3.8,6,0,3,None
SPKR-0765,David,Jackson,4,Microsoft Partner,Accenture,Product Manager,Microsoft 365,Data & Analytics,"JavaScript, TypeScript, PowerShell","Azure Compute, Azure IoT, Azure Networking, Azure Data, Azure Storage, Azure Security",True,North America,Canada,799,667,1,0,0,Microsoft Teams App Development: Best Practices,Digital & App Innovation,Breakout Session,Intermediate,75,329,4.5,47,6,4,Medium
SPKR-0766,Rachel,Li,7,Enterprise Customer,Johnson & Johnson,Senior Data Scientist,Microsoft 365,Quantum Computing,"C#, TypeScript, PowerShell, JavaScript","Azure Storage, Azure IoT, Azure DevOps, Microsoft 365",False,Asia Pacific,Japan,540,9653,4,4,1,SharePoint Framework Solutions,Modern Work,Workshop,Advanced,180,69,4.6,9,6,4,Medium
SPKR-0767,Mei,Nakamura,6,Microsoft Partner,Wipro,Principal Engineer,Mixed Reality,Data & Analytics,"C#, Unity Script, C++","Azure DevOps, Azure Security, Power Platform, Dynamics 365, Azure Data",False,North America,Canada,200,6291,7,0,0,Building HoloLens Applications,Digital & App Innovation,Keynote,Beginner,75,1670,4.1,6,12,4,None
SPKR-0768,Amara,Weber,9,Education,MIT,Development Manager,Security & Compliance,IoT Solutions,"PowerShell, Python, C#","Dynamics 365, Azure Data, Azure DevOps, Azure IoT, Azure Networking",False,Europe,United Kingdom,460,9790,3,3,36,Compliance Automation in the Cloud,Microsoft Cloud,Breakout Session,Intermediate,60,271,4.6,5,4,2,None
SPKR-0769,Nicole,Oliveira,5,Startup,NextGen Software,Senior Data Scientist,Data & Analytics,AI/Machine Learning,"Python, SQL, C#, KQL","Azure Storage, Microsoft 365, Power Platform",False,Europe,France,422,1071,22,1,1,Building Data Pipelines with Azure Data Factory,Data & AI,Workshop,Beginner,90,63,4.2,7,0,1,None
SPKR-0770,Brian,Yang,12,Consulting Firm,McKinsey & Company,Head of Cloud,Data & Analytics,IoT Solutions,"Python, KQL, C#, R, SQL","Azure DevOps, Azure AI, Azure Data",False,Middle East & Africa,South Africa,11233,878,192,8,19,Building Data Pipelines with Azure Data Factory,Data & AI,Breakout Session,Intermediate,45,174,3.4,24,89,1,Medium
SPKR-0771,Jessica,Wang,9,Government,Singapore GovTech,Principal Engineer,Microsoft 365,Data & Analytics,"JavaScript, PowerShell, TypeScript","Azure Storage, Azure Networking, Azure IoT",False,Middle East & Africa,South Africa,604,1310,5,6,45,Microsoft Graph Integration: A Case Study,Modern Work,Breakout Session,Intermediate,45,186,3.9,12,3,9,Medium
SPKR-0772,Alex,Hernandez,12,Enterprise Customer,Intel,Head of Cloud,Microsoft 365,Power Platform,"TypeScript, C#, JavaScript, PowerShell","Azure DevOps, Azure IoT, Azure Compute, Azure Security, Azure Networking, Azure Storage",False,Asia Pacific,New Zealand,5106,1978,16,8,32,Microsoft Teams App Development,Digital & App Innovation,Workshop,Intermediate,120,20,4.6,11,5,2,Low
SPKR-0773,David,Costa,17,Microsoft,Microsoft Research,Head of Cloud,Quantum Computing,IoT Solutions,"Q#, Python","Dynamics 365, Azure Security, Azure Networking, Azure Storage",False,Europe,Italy,7402,2334,12,9,48,Quantum Machine Learning,Data & AI,Theater Session,Intermediate,45,143,4.7,8,6,4,Medium
SPKR-0774,Kofi,Costa,8,Microsoft,Microsoft Corporation,Senior Software Engineer,Blockchain,Power Platform,"Go, JavaScript, Solidity","Azure AI, Azure DevOps, Dynamics 365",False,Europe,Germany,72,368,2,6,21,Blockchain Solutions on Azure,Infrastructure,Breakout Session,Beginner,60,138,4.1,1,0,9,Low
SPKR-0775,Lisa,Yamamoto,13,Startup,Digital Transform Co,Distinguished Engineer,IoT Solutions,AI/Machine Learning,"C#, Python","Dynamics 365, Azure Compute, Azure Networking",False,North America,Mexico,469,485,17,12,12,IoT Data Processing and Analytics: A Case Study,Data & AI,Workshop,Advanced,90,42,4.1,13,2,17,Low
SPKR-0776,Priya,Jones,6,Microsoft Partner,TCS,Senior Data Scientist,Modern Apps,Quantum Computing,"Swift, JavaScript, TypeScript","Azure Security, Microsoft 365, Dynamics 365, Azure DevOps, Azure Storage, Azure Mixed Reality",False,Asia Pacific,Singapore,3712,357,22,2,30,Microservices Architecture Patterns: Best Practices,App Innovation,Breakout Session,Beginner,60,211,4.9,12,2,4,Low
SPKR-0777,Yuki,Davis,6,Enterprise Customer,IBM,Principal Engineer,IoT Solutions,AI/Machine Learning,"C#, C++, Python","Azure Mixed Reality, Azure Data, Azure Security",False,Asia Pacific,China,582,2643,6,4,16,IoT Device Management with Azure,Data & AI,Theater Session,Beginner,30,93,4.7,8,0,2,Low
SPKR-0778,Ashley,Park,7,Microsoft,Microsoft Research,Solutions Architect,Azure Cloud,Data & Analytics,"C#, PowerShell, Python, ARM Templates","Azure Mixed Reality, Power Platform, Azure AI",False,Asia Pacific,South Korea,406,3285,2,4,12,Azure Architecture Best Practices,Microsoft Cloud,Breakout Session,Intermediate,45,120,3.3,5,2,9,Low
SPKR-0779,Priya,Souza,14,Microsoft Partner,Cognizant,Head of Cloud,Blockchain,Edge Computing,"JavaScript, C#","Azure DevOps, Microsoft 365, Azure Storage",False,North America,Canada,2361,30000,1,7,6,Blockchain for Supply Chain,App Innovation,Breakout Session,Advanced,45,251,4.5,1,1,1,Medium
SPKR-0780,Wei,Lopez,4,Enterprise Customer,Ford Motor,Solutions Architect,Edge Computing,Mixed Reality,"Python, JavaScript, C#, C++","Power Platform, Azure DevOps, Azure Storage, Dynamics 365, Microsoft 365",False,North America,Mexico,1800,997,5,0,0,Edge Security and Management: Lessons Learned,Infrastructure,Breakout Session,Intermediate,75,239,4.2,7,5,4,None
SPKR-0781,Chris,Yamamoto,8,Education,Oxford University,Senior Software Engineer,Security & Compliance,Mixed Reality,"C#, Python, JavaScript","Azure Mixed Reality, Power Platform",False,Europe,Germany,501,335,4,4,6,Identity and Access Management with Azure AD,Microsoft Cloud,Breakout Session,Beginner,45,287,4.0,10,0,0,Low
SPKR-0782,Priya,Smith,9,Startup,TechStart Inc,Principal Engineer,Sustainability Tech,Quantum Computing,"JavaScript, C#","Azure Compute, Microsoft 365",True,North America,Mexico,930,524,20,4,13,Carbon Footprint Optimization: A Case Study,Infrastructure,Keynote,Intermediate,90,2196,4.4,15,0,3,High
SPKR-0783,Nicole,Yang,6,Government,Singapore GovTech,Lead Developer,Power Platform,Quantum Computing,"Power Fx, TypeScript","Azure IoT, Azure Storage, Azure Security",False,North America,United States,12,605,7,2,4,Power Apps for Citizen Developers,Digital & App Innovation,Theater Session,Intermediate,30,126,3.6,34,4,2,Low
SPKR-0784,Ana,Brown,3,Education,Georgia Tech,DevOps Engineer,Edge Computing,Azure Cloud,"C#, Python, JavaScript","Power Platform, Microsoft 365, Azure IoT, Azure Networking, Azure Mixed Reality, Azure Security",False,North America,Canada,346,3243,14,0,0,Edge AI and Machine Learning: Best Practices,Data & AI,Workshop,Beginner,180,21,4.6,1,1,2,Low
SPKR-0785,Ryan,Costa,9,Microsoft,Microsoft Corporation,Principal Engineer,Modern Apps,AI/Machine Learning,"C#, JavaScript","Azure IoT, Dynamics 365",False,Latin America,Chile,318,2243,12,0,0,Serverless Computing with Azure Functions,App Innovation,Workshop,Beginner,90,72,4.9,21,2,6,None
SPKR-0786,Priya,Silva,2,Microsoft Partner,Infosys,Cloud Engineer,Edge Computing,Azure Cloud,"C++, Python, JavaScript","Azure AI, Microsoft 365, Azure DevOps, Azure Networking, Azure IoT",False,Asia Pacific,India,62,92,4,0,0,Edge Security and Management,Data & AI,Theater Session,Intermediate,45,91,3.8,4,2,4,None
SPKR-0787,Dmitri,Ferreira,14,Consulting Firm,KPMG,CTO,Edge Computing,Blockchain,"JavaScript, Python","Azure DevOps, Azure Storage, Azure AI, Power Platform, Azure Mixed Reality",True,Europe,Italy,1408,1180,11,7,8,Edge AI and Machine Learning,Data & AI,Workshop,Beginner,180,63,4.5,52,2,0,None
SPKR-0788,Alex,Jones,9,ISV,Salesforce,Development Manager,Modern Apps,Quantum Computing,"Java, Swift","Dynamics 365, Azure Mixed Reality",False,North America,Canada,301,159,5,5,13,Building Progressive Web Apps,Digital & App Innovation,Breakout Session,Beginner,45,156,3.8,10,0,1,Medium
SPKR-0789,Amanda,Zhang,11,Enterprise Customer,Home Depot,Principal Architect,Blockchain,Mixed Reality,"JavaScript, Go, Solidity","Dynamics 365, Azure Mixed Reality, Azure Data",False,North America,United States,831,2166,23,9,20,Blockchain Solutions on Azure: Advanced Techniques,App Innovation,Breakout Session,Intermediate,60,243,4.3,8,0,3,High
SPKR-0790,Elena,Kumar,7,Non-Profit,World Health Organization,Principal Engineer,Quantum Computing,DevOps & Automation,"Python, Q#, C#","Azure Storage, Azure Mixed Reality",False,North America,Mexico,318,341,4,4,1,Quantum Computing Applications,App Innovation,Workshop,Beginner,120,39,4.7,12,1,3,High
SPKR-0791,James,Williams,12,Microsoft,Microsoft Corporation,VP Engineering,Sustainability Tech,AI/Machine Learning,"C#, Python, R, JavaScript","Azure Networking, Azure Storage, Microsoft 365, Azure Data",False,Europe,Netherlands,1340,543,25,8,27,Carbon Footprint Optimization,Infrastructure,Theater Session,Advanced,45,72,4.4,11,0,4,Low
SPKR-0792,Nicole,Hernandez,8,Microsoft Partner,Accenture,Solutions Architect,Microsoft 365,AI/Machine Learning,"TypeScript, JavaScript, C#","Azure IoT, Azure Compute, Azure Storage, Power Platform, Azure Security",False,Asia Pacific,India,680,90,23,7,8,Office Add-ins Development: Lessons Learned,Modern Work,Workshop,Advanced,90,69,4.8,3,2,5,High
SPKR-0793,Ashley,Silva,9,Startup,InnovateCorp,Lead Developer,Microsoft 365,AI/Machine Learning,"TypeScript, PowerShell, JavaScript, C#","Azure DevOps, Power Platform, Azure Data, Azure Storage",False,North America,Canada,3815,2309,15,5,12,Microsoft Teams App Development,Modern Work,Theater Session,Intermediate,45,121,5.0,4,3,4,Low
SPKR-0794,Priya,Brown,7,Enterprise Customer,Bank of America,Development Manager,Mixed Reality,Microsoft 365,"C++, C#, JavaScript, Unity Script","Azure Networking, Azure IoT, Azure Compute, Azure Mixed Reality",False,North America,Canada,217,3404,12,4,2,AR/VR Development with Unity,Digital & App Innovation,Workshop,Beginner,120,23,4.0,1,3,6,Medium
SPKR-0795,Mei,Chen,13,Microsoft,Microsoft Corporation,Director of Engineering,Edge Computing,Mixed Reality,"Python, C++, C#, JavaScript","Azure Compute, Azure AI, Microsoft 365, Azure IoT, Azure Storage, Azure Mixed Reality",True,North America,United States,26208,521,14,10,19,Edge Computing with Azure IoT Edge,Data & AI,Theater Session,Intermediate,45,121,4.8,12,0,8,Medium
SPKR-0796,Jason,Wang,9,Microsoft Partner,Deloitte,Development Manager,Power Platform,Azure Cloud,"Power Fx, C#, TypeScript, JavaScript","Dynamics 365, Azure Storage, Azure Compute, Azure Networking",True,Asia Pacific,China,6999,766,7,0,0,Low-Code Application Development,Modern Work,Workshop,Beginner,120,42,4.2,26,2,8,Low
SPKR-0797,Ashley,Santos,5,Microsoft,Microsoft Consulting,Senior Data Scientist,Quantum Computing,Modern Apps,"Python, C#, Q#","Azure Mixed Reality, Azure Compute, Azure DevOps, Power Platform, Azure Storage, Microsoft 365",False,Asia Pacific,Australia,3752,374,10,2,7,Quantum Algorithms with Q#,App Innovation,Breakout Session,Beginner,45,133,4.6,4,2,3,Low
SPKR-0798,Stephanie,Weber,14,Startup,NextGen Software,Director of Engineering,Quantum Computing,IoT Solutions,"Q#, Python","Azure Compute, Azure Data, Dynamics 365, Azure IoT, Azure Networking, Azure Storage",False,Asia Pacific,India,1119,972,12,13,11,Quantum Algorithms with Q#,Data & AI,Breakout Session,Advanced,75,103,4.6,3,1,1,Low
SPKR-0799,Sarah,Wang,17,ISV,ServiceNow,Distinguished Engineer,Modern Apps,Security & Compliance,"TypeScript, Swift, JavaScript","Dynamics 365, Azure DevOps",False,Europe,France,582,547,10,11,10,Container Orchestration with Azure Kubernetes Service: Lessons Learned,App Innovation,Breakout Session,Intermediate,45,145,4.6,5,1,0,Medium
SPKR-0800,Priya,Fischer,6,ISV,Workday,Development Manager,Power Platform,Mixed Reality,"Power Fx, TypeScript, JavaScript","Azure AI, Azure Networking, Power Platform",False,North America,United States,198,195,8,2,5,Low-Code Application Development,Modern Work,Breakout Session,Intermediate,45,136,4.3,6,5,1,None
SPKR-0801,Ashley,Ferreira,13,Startup,CloudFirst Ltd,Principal Architect,Sustainability Tech,AI/Machine Learning,"R, JavaScript","Azure IoT, Azure Storage",False,Asia Pacific,India,60452,22805,12,12,50,Sustainable Software Development: Best Practices,Infrastructure,Theater Session,Intermediate,45,116,4.5,13,0,4,Low
SPKR-0802,Robert,Garcia,5,Enterprise Customer,Bank of America,Lead Developer,DevOps & Automation,Modern Apps,"Python, YAML, Bash","Azure Mixed Reality, Azure Data, Azure Networking",False,North America,Canada,2090,28,8,0,0,Monitoring and Observability,Infrastructure,Lightning Talk,Intermediate,15,88,4.4,8,4,0,None
SPKR-0803,Michael,Anderson,10,Enterprise Customer,Ford Motor,Principal Engineer,Blockchain,Azure Cloud,"Solidity, JavaScript, Go, C#","Azure Storage, Azure Data, Azure Mixed Reality, Azure Security",False,North America,Mexico,133,1826,14,6,1,Decentralized Identity,App Innovation,Breakout Session,Advanced,45,179,4.5,10,1,0,None
SPKR-0804,Jason,Zhang,17,Microsoft,Microsoft Corporation,Chief Architect,Data & Analytics,Sustainability Tech,"Python, R","Azure IoT, Azure DevOps",False,North America,Canada,3846,2055,7,14,48,Building Data Pipelines with Azure Data Factory,Data & AI,Theater Session,Advanced,45,104,5.0,13,2,6,High
SPKR-0805,Rachel,Fischer,17,Microsoft Partner,Avanade,Chief Architect,Mixed Reality,Sustainability Tech,"C#, Unity Script, C++","Azure Mixed Reality, Azure Storage, Azure Compute, Azure AI",False,North America,United States,257,10648,10,10,27,AR/VR Development with Unity,App Innovation,Workshop,Intermediate,180,55,4.4,12,5,0,Low
SPKR-0806,Ingrid,Sato,9,Microsoft,Microsoft Corporation,Senior Data Scientist,Data & Analytics,Quantum Computing,"SQL, R, Python, KQL","Azure IoT, Azure Security, Azure Data, Azure Mixed Reality, Microsoft 365, Power Platform",True,North America,Mexico,2296,701,6,2,0,Azure Synapse Analytics Deep Dive,Microsoft Cloud,Lightning Talk,Beginner,20,52,5.0,5,1,5,Low
SPKR-0807,Elena,Sato,9,ISV,Intuit,Product Manager,IoT Solutions,Quantum Computing,"JavaScript, C++, C#","Power Platform, Azure Compute, Dynamics 365",False,Asia Pacific,Japan,1949,596,21,6,12,Secure IoT Implementation: Lessons Learned,Data & AI,Breakout Session,Intermediate,60,131,4.5,4,2,6,Medium
SPKR-0808,James,Fischer,6,Government,UK Government Digital Service,Solutions Architect,Mixed Reality,Modern Apps,"JavaScript, C++, Unity Script, C#","Azure Data, Microsoft 365, Power Platform",False,North America,Canada,3953,277,2,0,0,Spatial Computing Fundamentals,Digital & App Innovation,Theater Session,Intermediate,45,127,5.0,2,3,9,None
SPKR-0809,Raj,Sato,6,Enterprise Customer,Johnson & Johnson,Lead Developer,Security & Compliance,Quantum Computing,"C#, PowerShell, JavaScript, Python","Dynamics 365, Azure Compute, Azure IoT",False,Asia Pacific,New Zealand,633,1121,1,3,14,Zero Trust Security Architecture,Microsoft Cloud,Breakout Session,Intermediate,45,275,5.0,6,4,0,None
SPKR-0810,Lars,Nakamura,6,Consulting Firm,NTT Data,Lead Developer,Modern Apps,Azure Cloud,"Swift, C#, Java","Azure Mixed Reality, Dynamics 365, Azure AI, Azure Compute, Microsoft 365",False,Asia Pacific,Singapore,362,312,25,5,9,Building Progressive Web Apps,Digital & App Innovation,Breakout Session,Beginner,45,222,4.3,12,8,7,Medium
SPKR-0811,Mei,Patel,5,Microsoft,Microsoft Research,Lead Developer,Data & Analytics,AI/Machine Learning,"KQL, R, Python, SQL","Azure AI, Azure DevOps, Azure Security, Azure Data",False,Europe,Netherlands,431,171,18,4,45,Azure Synapse Analytics Deep Dive: Advanced Techniques,Microsoft Cloud,Breakout Session,Intermediate,60,138,4.2,5,3,2,None
SPKR-0812,Jennifer,Garcia,9,Startup,TechStart Inc,Solutions Architect,Power Platform,AI/Machine Learning,"TypeScript, JavaScript, Power Fx, C#","Azure Storage, Power Platform, Microsoft 365, Azure Mixed Reality",False,North America,United States,2798,384,13,5,9,Power BI Advanced Analytics,Digital & App Innovation,Breakout Session,Advanced,75,238,3.7,11,1,1,None
SPKR-0813,João,Brown,7,Startup,NextGen Software,Principal Engineer,Modern Apps,Blockchain,"Swift, TypeScript, C#","Azure AI, Azure Mixed Reality, Azure Networking, Azure IoT",False,Europe,France,1579,256,11,1,3,Serverless Computing with Azure Functions,Digital & App Innovation,Breakout Session,Beginner,60,160,5.0,26,4,0,Medium
SPKR-0814,Ryan,Jackson,7,Enterprise Customer,General Electric,Senior Software Engineer,Power Platform,IoT Solutions,"Power Fx, JavaScript, C#","Azure Networking, Azure AI, Azure Compute, Azure Storage",False,Asia Pacific,Singapore,472,238,6,0,0,Power BI Advanced Analytics: A Case Study,Digital & App Innovation,Theater Session,Beginner,30,52,5.0,12,0,3,None
SPKR-0815,João,Rodriguez,13,Microsoft,Microsoft Research,CTO,Edge Computing,Blockchain,"C++, JavaScript, C#","Azure Networking, Azure Mixed Reality, Azure DevOps",True,North America,United States,110,1326,7,6,14,Industrial IoT Solutions: Lessons Learned,Data & AI,Breakout Session,Intermediate,60,242,4.2,33,3,2,Medium
SPKR-0816,Nicole,Costa,4,ISV,Intuit,Lead Developer,Data & Analytics,Modern Apps,"Python, C#","Azure Mixed Reality, Azure IoT, Azure Security, Azure DevOps",False,Asia Pacific,India,9,473,15,0,0,Azure Synapse Analytics Deep Dive,Microsoft Cloud,Breakout Session,Intermediate,60,221,4.2,8,7,1,None
SPKR-0817,Priya,Liu,5,Consulting Firm,NTT Data,Lead Developer,Edge Computing,Power Platform,"C#, JavaScript, C++","Azure Security, Azure Networking, Azure Storage, Azure AI, Azure IoT",False,Europe,Sweden,565,1286,14,4,12,Edge Computing with Azure IoT Edge,Infrastructure,Breakout Session,Beginner,75,107,4.5,3,2,3,None
SPKR-0818,Raj,Gonzalez,6,ISV,Salesforce,Development Manager,Blockchain,IoT Solutions,"JavaScript, C#, Go, Solidity","Azure DevOps, Dynamics 365, Azure Data",False,Middle East & Africa,UAE,75,873,3,0,0,Smart Contracts Development: A Case Study,Infrastructure,Breakout Session,Beginner,60,189,4.2,5,3,7,None
SPKR-0819,Ryan,Oliveira,13,Consulting Firm,Capgemini,VP Engineering,Microsoft 365,DevOps & Automation,"C#, PowerShell","Azure Storage, Azure Networking, Azure Security, Azure DevOps",False,Asia Pacific,Australia,328,282,12,6,9,Office Add-ins Development: Advanced Techniques,Modern Work,Workshop,Intermediate,180,64,3.9,12,2,2,Medium
SPKR-0820,Matthew,Thomas,8,Non-Profit,United Nations,Principal Engineer,DevOps & Automation,Mixed Reality,"Bash, YAML, Python","Microsoft 365, Azure Data, Azure DevOps, Azure Networking, Azure IoT, Power Platform",False,North America,Canada,373,67,3,0,0,Infrastructure as Code with ARM Templates,App Innovation,Theater Session,Beginner,45,99,4.8,3,2,1,None
SPKR-0821,Lauren,Silva,11,Microsoft,Microsoft Corporation,Chief Architect,Security & Compliance,Edge Computing,"PowerShell, JavaScript, Python, C#","Azure Networking, Azure Storage, Dynamics 365",False,Europe,Italy,14541,299,4,9,7,Compliance Automation in the Cloud: A Case Study,Security,Keynote,Beginner,75,565,4.5,7,1,2,None
SPKR-0822,Raj,Kim,9,Microsoft,Microsoft Research,Senior Software Engineer,Security & Compliance,Microsoft 365,"PowerShell, Python, C#","Microsoft 365, Azure Networking, Power Platform, Azure DevOps, Azure Compute",False,North America,Mexico,678,2328,1,4,4,Azure Security Center Best Practices: A Case Study,Microsoft Cloud,Breakout Session,Beginner,75,132,5.0,34,0,3,High
SPKR-0823,Emily,Souza,8,Microsoft Partner,PwC,Solutions Architect,Blockchain,AI/Machine Learning,"Solidity, JavaScript, C#","Azure Compute, Azure DevOps, Azure Mixed Reality, Microsoft 365, Power Platform, Azure AI",False,North America,Mexico,1544,2104,18,5,19,Smart Contracts Development: Advanced Techniques,Infrastructure,Breakout Session,Intermediate,75,276,4.2,7,1,12,Low
SPKR-0824,Jennifer,Thompson,10,Microsoft,Microsoft Consulting,Lead Developer,Data & Analytics,Mixed Reality,"C#, SQL","Azure Data, Azure IoT",False,Asia Pacific,Singapore,1289,3252,3,7,50,Real-time Analytics with Azure Stream Analytics,Microsoft Cloud,Workshop,Intermediate,120,36,4.4,3,3,2,Medium
SPKR-0825,Michael,Brown,10,Enterprise Customer,Goldman Sachs,Development Manager,AI/Machine Learning,Azure Cloud,"JavaScript, Scala","Azure Mixed Reality, Azure Networking, Azure Compute, Azure IoT, Azure Storage, Azure AI",False,Latin America,Chile,16,2727,2,9,9,Building Intelligent Chatbots with Bot Framework: Advanced Techniques,Data & AI,Breakout Session,Beginner,60,118,4.2,11,4,1,Medium
SPKR-0826,Kofi,Jones,3,Startup,Digital Transform Co,DevOps Engineer,DevOps & Automation,Sustainability Tech,"Bash, Python","Azure Compute, Azure Security, Azure Data, Azure Mixed Reality",False,Middle East & Africa,Egypt,177,1961,6,0,0,CI/CD with Azure DevOps: A Case Study,Infrastructure,Breakout Session,Intermediate,60,110,3.4,17,3,4,None
SPKR-0827,Rachel,Sato,12,Enterprise Customer,Ford Motor,Distinguished Engineer,IoT Solutions,Microsoft 365,"C++, C#, Python, JavaScript","Azure DevOps, Azure Data, Azure Security, Microsoft 365, Azure IoT",False,North America,Canada,110,1841,27,9,8,IoT Data Processing and Analytics,Infrastructure,Theater Session,Intermediate,30,109,4.4,16,1,19,High
SPKR-0828,Dmitri,Schneider,19,Microsoft Partner,Infosys,Principal Architect,Azure Cloud,Security & Compliance,"C#, PowerShell, Python","Power Platform, Azure Networking, Dynamics 365",False,North America,United States,12916,13891,5,12,44,Modernizing Legacy Systems with Azure: A Case Study,Infrastructure,Theater Session,Intermediate,30,70,4.2,11,0,15,Medium
SPKR-0829,Nicole,Costa,6,Government,US Federal Government,Senior Data Scientist,Sustainability Tech,Modern Apps,"Python, C#, R","Dynamics 365, Azure Mixed Reality, Azure Compute, Azure Networking, Azure IoT",False,Europe,Sweden,28,1040,5,3,10,Carbon Footprint Optimization,Microsoft Cloud,Theater Session,Advanced,30,93,4.8,5,3,0,None
SPKR-0830,Yuki,Gonzalez,11,Microsoft,Microsoft Corporation,Distinguished Engineer,Mixed Reality,Edge Computing,"C++, Unity Script","Azure Security, Azure Storage, Dynamics 365",False,North America,Canada,343,11720,15,8,34,Spatial Computing Fundamentals: Lessons Learned,Digital & App Innovation,Breakout Session,Intermediate,75,250,4.4,8,4,3,Medium
SPKR-0831,Amanda,Park,5,Microsoft Partner,Accenture,Lead Developer,Security & Compliance,Data & Analytics,"C#, PowerShell, Python","Azure Storage, Azure IoT, Microsoft 365, Azure DevOps",False,North America,United States,272,313,8,0,0,Zero Trust Security Architecture,Security,Theater Session,Intermediate,30,128,3.8,10,4,5,None
SPKR-0832,Lucia,Silva,5,Startup,NextGen Software,Senior Software Engineer,Modern Apps,DevOps & Automation,"TypeScript, Java, Swift","Azure Security, Azure Networking, Power Platform",False,Asia Pacific,India,91,304,20,1,0,Microservices Architecture Patterns,App Innovation,Theater Session,Beginner,45,135,3.4,1,4,2,None
SPKR-0833,Kevin,Thompson,9,Consulting Firm,McKinsey & Company,Senior Software Engineer,Microsoft 365,Azure Cloud,"PowerShell, JavaScript, C#","Azure Compute, Azure Security, Azure Storage, Azure IoT, Microsoft 365, Azure AI",False,Asia Pacific,Australia,657,739,4,4,18,Microsoft Graph Integration: Advanced Techniques,Modern Work,Theater Session,Intermediate,30,62,4.7,10,12,0,Medium
